# wave	flux	error	model
# 
1.234029999999999973e+03 9.954555099999999879e-01 3.155132299999999917e-02 9.938134193996736032e-01
1.234059999999999945e+03 9.005483600000000477e-01 3.018133300000000116e-02 9.493240401034265252e-01
1.234089999999999918e+03 8.098896300000000270e-01 2.880915300000000054e-02 8.220561391431318032e-01
1.234119999999999891e+03 7.391258400000000339e-01 2.754367699999999905e-02 7.180039603461049191e-01
1.234150000000000091e+03 7.662218899999999611e-01 2.818959299999999890e-02 7.778274842887091811e-01
1.234180000000000064e+03 9.012242000000000308e-01 3.063301400000000008e-02 9.180609486588897639e-01
1.234210000000000036e+03 9.406347900000000539e-01 3.136595600000000039e-02 9.870203656306687501e-01
1.234240000000000009e+03 9.613440500000000055e-01 3.174219699999999977e-02 9.990939218593913873e-01
1.234269999999999982e+03 1.001579400000000009e+00 3.238424899999999690e-02 9.999647426587624510e-01
1.234299999999999955e+03 9.352035300000000051e-01 3.144463799999999698e-02 9.999946183414464285e-01
1.234329999999999927e+03 9.793926699999999652e-01 3.190152699999999897e-02 9.999964907909965062e-01
1.234359999999999900e+03 9.879830499999999738e-01 3.187965899999999769e-02 9.999973913996377251e-01
1.234390000000000100e+03 1.027707200000000043e+00 3.406197999999999865e-02 9.999979783557979562e-01
1.234420000000000073e+03 1.043819499999999900e+00 3.870985200000000293e-02 9.999983848568013700e-01
1.234450000000000045e+03 1.082202799999999909e+00 3.926121099999999725e-02 9.999986787642790587e-01
1.234480000000000018e+03 9.921792099999999781e-01 3.739014999999999700e-02 9.999988984932527414e-01
1.234509999999999991e+03 9.780862999999999641e-01 3.697764900000000132e-02 9.999990672431336991e-01
1.234539999999999964e+03 1.096291099999999963e+00 3.903997000000000023e-02 9.999991997456797455e-01
1.234569999999999936e+03 1.026396700000000051e+00 3.779643500000000322e-02 9.999993057417377873e-01
1.234599999999999909e+03 1.025889000000000051e+00 3.793384500000000076e-02 9.999993918910656809e-01
1.234630000000000109e+03 1.021489300000000044e+00 3.787367400000000300e-02 9.999994628770432215e-01
1.234660000000000082e+03 9.985865000000000435e-01 3.725173100000000320e-02 9.999995220736167534e-01
1.234690000000000055e+03 9.501787499999999609e-01 3.636485200000000306e-02 9.999995719627832180e-01
1.234720000000000027e+03 9.248881100000000410e-01 3.591747299999999837e-02 9.999996144041609636e-01
1.234750000000000000e+03 9.939940200000000337e-01 3.731376100000000084e-02 9.999996508138165874e-01
1.234779999999999973e+03 1.019064600000000098e+00 3.780867799999999834e-02 9.999996822857406542e-01
1.234809999999999945e+03 1.055492300000000050e+00 3.860370999999999941e-02 9.999997096761196191e-01
1.234839999999999918e+03 1.061624200000000018e+00 3.899459400000000048e-02 9.999997336629056210e-01
1.234869999999999891e+03 1.021830299999999969e+00 3.839158299999999996e-02 9.999997547886431137e-01
1.234900000000000091e+03 9.688212899999999461e-01 3.746149000000000007e-02 9.999997734917311920e-01
1.234930000000000064e+03 1.056816699999999942e+00 3.895505999999999969e-02 9.999997901295640812e-01
1.234960000000000036e+03 1.004735200000000050e+00 3.806709099999999735e-02 9.999998049958787050e-01
1.234990000000000009e+03 1.035398299999999994e+00 3.870754299999999704e-02 9.999998183339112723e-01
1.235019999999999982e+03 9.500723800000000496e-01 3.712409099999999795e-02 9.999998303464828764e-01
1.235049999999999955e+03 9.814682999999999602e-01 3.783392000000000005e-02 9.999998412038082485e-01
1.235079999999999927e+03 9.668275400000000408e-01 3.760555100000000095e-02 9.999998510495974324e-01
1.235109999999999900e+03 1.038047100000000000e+00 3.897689299999999857e-02 9.999998600058637166e-01
1.235140000000000100e+03 9.822013299999999836e-01 3.797862099999999713e-02 9.999998681767434672e-01
1.235170000000000073e+03 9.657984299999999855e-01 3.752570699999999843e-02 9.999998756515524612e-01
1.235200000000000045e+03 1.007699899999999982e+00 3.860922099999999912e-02 9.999998825072494713e-01
1.235230000000000018e+03 9.957138399999999612e-01 3.848148600000000225e-02 9.999998888104341122e-01
1.235259999999999991e+03 8.880273600000000433e-01 3.635229599999999922e-02 9.999998946189777582e-01
1.235289999999999964e+03 8.871740000000000181e-01 3.644486899999999779e-02 9.999998999833620283e-01
1.235319999999999936e+03 8.766170699999999982e-01 3.554823800000000283e-02 9.999999049477839019e-01
1.235349999999999909e+03 8.361501099999999465e-01 2.967879000000000003e-02 9.999999095510725411e-01
1.235380000000000109e+03 8.045265299999999620e-01 2.910122399999999845e-02 9.999999138274532351e-01
1.235410000000000082e+03 7.950367999999999880e-01 2.901388599999999915e-02 9.999999178071881101e-01
1.235440000000000055e+03 7.308648300000000209e-01 2.783977300000000168e-02 9.999999215171144762e-01
1.235470000000000027e+03 7.778397400000000017e-01 2.867470899999999961e-02 9.999999249810997970e-01
1.235500000000000000e+03 7.958874799999999805e-01 2.912647499999999889e-02 9.999999282204279361e-01
1.235529999999999973e+03 7.587739100000000514e-01 2.845094199999999990e-02 9.999999312541280050e-01
1.235559999999999945e+03 7.308025299999999502e-01 2.796866099999999883e-02 9.999999340992546948e-01
1.235589999999999918e+03 7.501150599999999447e-01 2.839797900000000028e-02 9.999999367711297493e-01
1.235619999999999891e+03 7.170672500000000449e-01 2.771923000000000095e-02 9.999999392835487999e-01
1.235650000000000091e+03 8.612119400000000091e-01 3.034805399999999931e-02 9.999999416489606663e-01
1.235680000000000064e+03 9.418102999999999891e-01 3.177089799999999881e-02 9.999999438786215666e-01
1.235710000000000036e+03 9.480085700000000504e-01 3.188087900000000086e-02 9.999999459827305648e-01
