# wave	flux	error	model
# 
1.382720000000000027e+03 9.887709999999999555e-01 3.504369999999999707e-02 9.869926848034451528e-01
1.382750000000000000e+03 9.749179999999999513e-01 3.481309999999999960e-02 9.861666645472610959e-01
1.382779999999999973e+03 9.708170000000000410e-01 3.472499999999999892e-02 9.853174178875937494e-01
1.382809999999999945e+03 1.018650000000000055e+00 3.559869999999999701e-02 9.844360538965112317e-01
1.382839999999999918e+03 1.011149999999999993e+00 3.546459999999999890e-02 9.835069127696762781e-01
1.382869999999999891e+03 1.002220000000000111e+00 3.532140000000000279e-02 9.825068083439844058e-01
1.382900000000000091e+03 1.060959999999999903e+00 3.629399999999999987e-02 9.814104528219478318e-01
1.382930000000000064e+03 1.011390000000000011e+00 3.543410000000000309e-02 9.801971092534900176e-01
1.382960000000000036e+03 1.023640000000000105e+00 3.566559999999999869e-02 9.788563733342464657e-01
1.382990000000000009e+03 1.045199999999999907e+00 3.612270000000000064e-02 9.773875538746175096e-01
1.383019999999999982e+03 1.053449999999999998e+00 3.614699999999999858e-02 9.757927621093244186e-01
1.383049999999999955e+03 1.011030000000000095e+00 3.546210000000000334e-02 9.740657114904276437e-01
1.383079999999999927e+03 9.681650000000000533e-01 3.468029999999999724e-02 9.721835665685359951e-01
1.383099999999999909e+03 9.653119999999999479e-01 3.468170000000000280e-02 9.701065405465998381e-01
1.383130000000000109e+03 9.521509999999999696e-01 3.437690000000000190e-02 9.677899668004769085e-01
1.383160000000000082e+03 9.255170000000000341e-01 3.389650000000000302e-02 9.651988645463631666e-01
1.383190000000000055e+03 9.772610000000000463e-01 3.484269999999999728e-02 9.623129244196916288e-01
1.383220000000000027e+03 9.969749999999999446e-01 3.519970000000000043e-02 9.591062022934684350e-01
1.383250000000000000e+03 9.701419999999999488e-01 3.468929999999999930e-02 9.555100653052108761e-01
1.383279999999999973e+03 9.543449999999999989e-01 3.443369999999999764e-02 9.514004908085351708e-01
1.383309999999999945e+03 9.723889999999999478e-01 3.488650000000000084e-02 9.466214736113223172e-01
1.383339999999999918e+03 1.021030000000000104e+00 3.566699999999999732e-02 9.410448934957250655e-01
1.383369999999999891e+03 9.980109999999999815e-01 3.522449999999999887e-02 9.346146043628159594e-01
1.383400000000000091e+03 9.718970000000000109e-01 3.486700000000000216e-02 9.273367482526757577e-01
1.383430000000000064e+03 9.799160000000000093e-01 3.490050000000000097e-02 9.192381462790150115e-01
1.383460000000000036e+03 9.798219999999999708e-01 3.500129999999999908e-02 9.102840703938921418e-01
1.383490000000000009e+03 9.222390000000000310e-01 3.387400000000000133e-02 9.002520426224515093e-01
1.383519999999999982e+03 9.101970000000000338e-01 3.381270000000000109e-02 8.885592425251673809e-01
1.383549999999999955e+03 9.202630000000000532e-01 3.386070000000000052e-02 8.741428812294973483e-01
1.383579999999999927e+03 8.814140000000000308e-01 3.310760000000000092e-02 8.553608711465326975e-01
1.383609999999999900e+03 8.351380000000000470e-01 3.223770000000000108e-02 8.298553470464107296e-01
1.383640000000000100e+03 8.695990000000000109e-01 3.287339999999999707e-02 7.946676726470882635e-01
1.383670000000000073e+03 8.358750000000000346e-01 3.230569999999999969e-02 7.463280373069047791e-01
1.383700000000000045e+03 8.331990000000000229e-01 3.241779999999999662e-02 6.820226269818581155e-01
1.383730000000000018e+03 6.837750000000000217e-01 2.978710000000000038e-02 6.001128321408836230e-01
1.383759999999999991e+03 5.409190000000000387e-01 2.650370000000000156e-02 5.018165077202217939e-01
1.383789999999999964e+03 3.819489999999999830e-01 2.308850000000000138e-02 3.941798899558537350e-01
1.383819999999999936e+03 2.473039999999999961e-01 1.937890000000000099e-02 2.902728486501519600e-01
1.383849999999999909e+03 1.605540000000000023e-01 1.580049999999999857e-02 2.033279868366924537e-01
1.383880000000000109e+03 9.791009999999999991e-02 1.216420000000000001e-02 1.393871543826019077e-01
1.383910000000000082e+03 5.216019999999999684e-02 9.857219999999999871e-03 9.648184994744297971e-02
1.383940000000000055e+03 5.597649999999999848e-02 9.393779999999999145e-03 6.915537800812635028e-02
1.383970000000000027e+03 5.161120000000000291e-02 8.706800000000000650e-03 5.236163386397361952e-02
1.384000000000000000e+03 3.966379999999999906e-02 7.575339999999999852e-03 4.270715335340328350e-02
1.384029999999999973e+03 2.559540000000000079e-02 6.200080000000000174e-03 3.812510243957053374e-02
1.384059999999999945e+03 3.177750000000000019e-02 6.740180000000000130e-03 3.763686188961519463e-02
1.384089999999999918e+03 2.569969999999999893e-02 6.366369999999999668e-03 4.125889611520371786e-02
1.384119999999999891e+03 3.497039999999999871e-02 7.434950000000000066e-03 5.002051931273465701e-02
1.384150000000000091e+03 5.185970000000000163e-02 8.642429999999999557e-03 6.614418075185024559e-02
1.384180000000000064e+03 6.173979999999999746e-02 9.312529999999999419e-03 9.354120344835674394e-02
1.384210000000000036e+03 1.041679999999999967e-01 1.283160000000000030e-02 1.377967292356645224e-01
1.384240000000000009e+03 1.550209999999999921e-01 1.608139999999999917e-02 2.040611524595569160e-01
1.384269999999999982e+03 2.244960000000000011e-01 2.015739999999999893e-02 2.924304986931237083e-01
1.384299999999999955e+03 4.051560000000000161e-01 2.387289999999999898e-02 3.948614631990506885e-01
1.384329999999999927e+03 5.431799999999999962e-01 2.713130000000000056e-02 4.986360833902009349e-01
1.384359999999999900e+03 6.740129999999999733e-01 2.935259999999999952e-02 5.932514227544807284e-01
1.384390000000000100e+03 7.913890000000000091e-01 3.149749999999999772e-02 6.736401661774847893e-01
1.384420000000000073e+03 7.994599999999999485e-01 3.152839999999999809e-02 7.385894859977514271e-01
1.384450000000000045e+03 8.689789999999999459e-01 3.285740000000000188e-02 7.887991727806994424e-01
1.384480000000000018e+03 8.771020000000000483e-01 3.300739999999999924e-02 8.263206887628755659e-01
1.384509999999999991e+03 8.627510000000000456e-01 3.285079999999999945e-02 8.537554858552921511e-01
1.384539999999999964e+03 9.477959999999999718e-01 3.433590000000000253e-02 8.737365151891818282e-01
1.384569999999999936e+03 9.593129999999999713e-01 3.453760000000000163e-02 8.885843084136934023e-01
